id,imdb_votes,number_in_season,number_in_series,original_air_date,season,title,us_viewers_in_millions,imdb_score
418,585.0,18,418,2008-05-04,19,Any Given Sundance,6.18,7.0
156,1085.0,3,156,1996-11-10,8,The Homer They Fall,17.0,8.0
210,909.0,7,210,1998-11-22,10,"Lisa Gets an ""A""",8.0,8.0
249,829.0,1,249,2000-11-01,12,Treehouse of Horror XI,13.2,7.6
65,1293.0,6,65,1992-11-03,4,Itchy & Scratchy: The Movie,20.1,8.2
423,638.0,3,423,2008-10-19,20,"Double, Double, Boy in Trouble",8.09,7.0
201,962.0,23,201,1998-05-03,9,King of the Hill,9.2,8.3
294,645.0,3,294,2002-11-17,14,Bart vs. Lisa vs. the Third Grade,13.3,7.0
248,955.0,22,248,2000-05-21,11,Behind the Laughter,8.3,7.9
181,980.0,3,181,1997-10-19,9,Lisa's Sax,12.9,8.1
282,623.0,13,282,2002-03-10,13,The Old Man and the Key,14.5,6.5
542,473.0,12,542,2014-03-09,25,Diggs,2.69,6.4
197,1026.0,19,197,1998-03-29,9,Simpson Tide,9.0,8.3
422,681.0,2,422,2008-10-05,20,Lost Verizon,7.43,6.9
502,541.0,16,502,2012-03-11,23,How I Wet Your Mother,4.97,7.3
124,1004.0,21,124,1995-04-16,6,The PTA Disbands,11.8,8.1
317,705.0,4,317,2003-11-23,15,The Regina Monologues,12.2,7.1
546,430.0,16,546,2014-03-30,25,You Don't Have to Live Like a Referee,3.91,6.9
371,854.0,15,371,2006-03-26,17,"Homer Simpson, This Is Your Wife",10.09,6.5
384,605.0,6,384,2006-11-19,18,Moe'N'a Lisa,9.31,6.8
385,603.0,7,385,2006-11-26,18,Ice Cream of Margie (with the Light Blue Hair),10.9,7.0
361,578.0,5,361,2005-11-13,17,Marge's Son Poisoning,11.4,6.9
388,615.0,10,388,2007-01-07,18,The Wife Aquatic,13.9,6.6
218,831.0,15,218,1999-02-21,10,"Marge Simpson in: ""Screaming Yellow Honkers""",8.6,7.3
57,1176.0,22,57,1992-04-23,3,The Otto Show,17.5,7.7
2,1973.0,2,2,1990-01-14,1,Bart the Genius,24.5,7.8
234,775.0,8,234,1999-11-28,11,"Take My Wife, Sleaze",8.9,7.1
45,1618.0,10,45,1991-11-21,3,Flaming Moe's,23.9,8.8
565,377.0,13,565,2015-02-08,26,Walking Big & Tall,2.78,6.3
296,633.0,5,296,2002-12-01,14,Helter Shelter,15.1,6.8
64,1394.0,5,64,1992-10-29,4,Treehouse of Horror III,25.1,8.4
331,609.0,18,331,2004-04-25,15,Catch 'Em If You Can,9.3,7.0
435,571.0,15,435,2009-03-29,20,Wedding for Disaster,6.58,6.8
299,598.0,8,299,2003-01-12,14,The Dad Who Knew Too Little,12.8,7.3
412,636.0,12,412,2008-02-17,19,"Love, Springfieldian Style",7.81,6.6
10,1511.0,10,10,1990-03-25,1,Homer's Night Out,30.3,7.4
407,762.0,7,407,2007-11-18,19,Husbands and Knives,10.5,7.1
237,734.0,11,237,2000-01-16,11,Faith Off,10.4,6.9
228,776.0,2,228,1999-10-03,11,Brother's Little Helper,7.1,7.5
339,562.0,4,339,2004-12-05,16,She Used to Be My Girl,10.81,6.6
410,633.0,10,410,2008-01-06,19,E Pluribus Wiggum,8.2,6.9
528,410.0,20,528,2013-05-12,24,The Fabulous Faker Boy,4.16,6.3
258,760.0,10,258,2001-01-14,12,Pokey Mom,15.0,7.3
123,1051.0,20,123,1995-04-09,6,Two Dozen and One Greyhounds,11.6,8.1
322,607.0,9,322,2004-01-11,15,"I, (Annoyed Grunt)-bot",16.3,7.3
